queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_special_char_count,TXT_text_density,LING_query_type,LING_tense,LING_modality,LING_has_negation,LING_has_conditional,LING_clause_complexity,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_count,SEM_entity_types,SEM_abstractness,SEM_specificity,SEM_ambiguity,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,INTENT_urgency_level,INTENT_consequence_severity,INTENT_task_priority,INTENT_emotional_tone,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_reasoning_depth,TASK_modality_types,INTENT_priority,TASK_multi_modal,INTENT_satisfaction_criticality,COMP_join_operations_needed
지난주에 찍은 골프 스윙 영상 보여줘,8.7393,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 찍은 헬스 자세 영상 보여줘,18.18,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 찍은 요가 동작 영상 보여줘,26.8976,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 찍은 등산 영상 보여줘,7.4636,34,30,10.0,3.4,1,1,0.0,0.2941,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8824,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난 주에 찍어둔 통장 사진 찾아줘,14.6009,36,32,10.0,3.6,1,1,0.0,0.2778,interrogative,past,none,0,0,1,1,photo,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8889,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048,56,50,14.0,4.0,1,1,0.0,0.25,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8929,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904,50,44,12.0,4.2,1,1,0.0,0.24,interrogative,past,none,0,0,1,1,video,none,1,none,4,2,1,1,0,single,absolute,5,1,0,2,2,neutral,0.8833,1,3.0,2,medium,1.0,1,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0
