queries,MAL
지난주에 찍은 골프 스윙 영상 보여줘,8.7393
지난주에 찍은 헬스 자세 영상 보여줘,18.18
지난주에 찍은 요가 동작 영상 보여줘,26.8976
지난주에 찍은 등산 영상 보여줘,7.4636
지난 주에 찍어둔 체크카드 사진 찾아줘,24.1513
지난 주에 찍어둔 영수증 사진 찾아줘,11.1685
지난 주에 찍어둔 계좌번호 사진 찾아줘,20.4332
지난 주에 찍어둔 통장 사진 찾아줘,14.6009
지난주에 소연이가 추천했던 유튜브 영상 콘텐츠 제목이 뭐였지?,15.2048
지난주에 소연이가 추천했던 영화 콘텐츠 제목이 뭐였지?,12.904
지난주에 소연이가 추천했던 드라마 콘텐츠 제목이 뭐였지?,18.0523
지난주에 소연이가 추천했던 예능 콘텐츠 제목이 뭐였지?,31.1902
지민이 결혼식 일정 알려줘,11.6698
지민이 졸업식 일정 알려줘,15.3752
지민이 돌잔치 일정 알려줘,15.7295
지민이 생일 알려줘,12.1895
사려고 찍어둔 와인 사진 다 보여줘,26.8335
사려고 찍어둔 신발 사진 다 보여줘,24.4891
사려고 찍어둔 옷 사진 다 보여줘,31.3977
사려고 찍어둔 주방용품 사진 다 보여줘,21.2091
지난주 작성한 강의 필기 찾아줘,26.106
지난주 작성한 노트 찾아줘,24.2368
지난 주에 찍어둔 강의 영상 찾아줘,20.803
지난주 작성한 메모 찾아줘,11.5135
지난번 여행에서 산책할 때 찍은 사진 보여줘,18.496
지난번 여행에서 먹었던 음식 사진 보여줘,20.4941
지난번 여행에서 구경한 풍경 사진 보여줘,15.6216
지난번 여행에서 체험한 액티비티 사진 보여줘,17.3384
내 여권 사진 찾아줘,18.3003
주말에 찍은 반려동물 사진 찾아줘,13.2361
가족이랑 찍은 사진 찾아줘,26.9289
친구들과 함께 찍은 사진 찾아줘,26.0997
봄에 갔던 골프장 어디였지?,20.9377
여름에 갔던 산 어디였지?,13.8776
주말에 갔던 라이딩 코스 어디였지?,18.0121
가을에 갔던 공원 어디였지?,25.1263
4월 1일에 결제했던 5만원 어디에 쓴 거지?,23.3784
4월 1일에 결제했던 5만원 어디서 쓴 거지?,18.792
4월 1일에 결제했던 5만원 무슨 카드로 쓴 거지?,17.2943
4월 1일에 결제했던 5만원 언제 쓴 거지?,18.6919
어제 반복해서 들은 노래의 제목과 가수명이 뭐지?,15.7563
어제 점심 때 들은 노래의 제목과 가수명이 뭐지?,14.6793
어제 저녁에 들은 노래의 제목과 가수명이 뭐지?,14.0305
어제 운동하면서 들은 노래의 제목과 가수명이 뭐지?,14.3753
내일 지원이랑 어디서 만나기로 했지?,15.6107
내일 지원이랑 언제 만나기로 했지?,11.9332
내일 지원이랑 몇 시에 만나기로 했지?,16.2685
내일 지원이랑 무엇 때문에 만나기로 했지?,11.54
작년 겨울에 구매한 패딩을 어느 사이트에서 샀었지?,25.1216
작년 겨울에 구매한 패딩을 어느 앱에서 샀었지?,23.5528
작년 겨울에 구매한 패딩을 어느 오프라인 매장에서 샀었지?,23.6779
작년 겨울에 구매한 패딩을 어느 백화점에서 샀었지?,19.8546
오늘 미팅 장소와 시간은 어디지?,14.0835
오늘 약속 장소와 시간은 어디지?,6.7843
오늘 세미나 장소와 시간은 어디지?,20.0484
오늘 회의 장소와 시간은 어디지?,11.4985
작년 결혼기념일 때 갔던 레스토랑 어디였지?,13.2869
뉴욕 여행 때 갔던 브런치 집 어디였지?,15.9983
부모님 생신 때 갔던 호텔 어디였지?,14.627
친구 결혼식 때 갔던 식장 어디였지?,21.6479
성훈이랑 최근에 언제 만났더라?,14.5831
성훈이랑 최근에 어디서 만났더라?,17.0392
성훈이랑 최근에 몇 시에 만났더라?,18.6927
성훈이랑 최근에 무엇 때문에 만났더라?,22.4367
지난달에 운동 몇 번이나 했지?,12.7229
지난달에 걷기 몇 번이나 했지?,20.8216
지난달에 요가 몇 번이나 했지?,15.467
지난달에 수영 몇 번이나 했지?,9.3088
지난달에 쿠팡에서 총 얼마나 썼지?,21.5989
지난달에 이마트에서 총 얼마나 썼지?,12.7241
지난달에 전통시장에서 총 얼마나 썼지?,23.353
지난달에 편의점에서 총 얼마나 썼지?,25.8917
지난달에 유튜브를 총 몇 시간 재생했지?,17.2496
지난달에 넷플릭스를 총 몇 시간 재생했지?,22.1453
지난달에 케이팝 플레이리스트를 총 몇 시간 재생했지?,26.7749
지난달에 팟캐스트를 총 몇 시간 재생했지?,24.7164
지난해에 약속이 몇 번이나 있었지?,33.8893
지난해에 모임이 몇 번이나 있었지?,28.1026
지난해에 회식이 몇 번이나 있었지?,20.4603
지난해에 여행이 몇 번이나 있었지?,13.163
올해 상반기에 옷을 몇 번이나 샀지?,19.9251
올해 상반기에 신발을 몇 번이나 샀지?,20.4428
올해 상반기에 생필품을 몇 번이나 샀지?,28.4905
올해 상반기에 화장품을 몇 번이나 샀지?,17.8084
지난주에 영어 회화를 몇 시간 했지?,18.2183
지난주에 자격증 공부를 몇 시간 했지?,18.8426
지난주에 독서를 몇 시간 했지?,16.7158
지난주에 오프라인 합주를 몇 시간 했지?,21.5635
