participant_id,query_id,MAL,QL_char,QL_tokens,task_family,info_source_type,requires_personal_history,requires_aggregation,requires_summarization,requires_generation,temporal_reference_type,time_urgency_level,stakes_level,modality_primary,domain_category,query_goal_specificity,expected_answer_length,interaction_pattern,has_comparative_phrase,has_temporal_diff_phrase,time_window_length,personalization_intensity,needs_location_context,needs_calendar_context,needs_communication_logs,needs_media_history,needs_financial_logs,needs_health_data,recommendation_type,requires_cross_app_integration,requires_similarity_search,requires_visual_understanding,requires_list_dedup_grouping,explicit_output_structure,urgency_phrase_present,planning_horizon,social_context_strength,contains_monetary_amount,monetary_context_type,device_context_implied,cognitive_load_estimate,novelty_seeking,habit_analysis,food_context_type,output_requires_multimedia_creation,output_requires_behavior_change_guidance,embedding_cluster_id,embedding_axis_complexity,embedding_axis_urgency
P013,1,21.105,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P020,1,13.965,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P028,1,12.935,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P030,1,14.307,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P042,1,4.869,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P051,1,2.113,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P058,1,3.636,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P064,1,2.355,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P071,1,7.032,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
P081,1,5.076,20,6,retrieve_item,personal_content,1,0,0,0,past_range,0,0,video,travel_leisure,2,0,one_shot_lookup,0,0,1,2,0,0,0,0,0,0,other,0,0,0,0,media_output,0,0,0,0,spend_tracking,neutral,0,0,0,casual_meal,0,0,personal_media_retrieval,0.3,0.0
