feature,estimate,std_error,p_value
Intercept,2.1858874312935903,0.3848222551205993,1.3449633870106454e-08
needs_health_data,-0.3416628126866771,0.11280641883897753,0.0024556512554982798
output_requires_multimedia_creation,0.8010197789308802,0.3202083923909875,0.012364828177643096
needs_media_history,-0.24260981148961971,0.11497960045686041,0.0348562175163634
urgency_phrase_present,0.33301137495387784,0.17640662933643142,0.05905970288051431
explicit_output_structure,0.12014754489289918,0.06869041138794159,0.08027085108327901
novelty_seeking,-0.17446129856994175,0.11423836362904576,0.12671896871861063
needs_calendar_context,-0.1716349267878341,0.11724667661168539,0.14322706094043328
temporal_reference_type,-0.04998708620766185,0.0345997492106906,0.14853544102524607
requires_summarization,-0.5209056949151811,0.3623571425892175,0.1505624152707525
requires_visual_understanding,-0.1795926744188938,0.12773120699739984,0.15971808656539677
expected_answer_length,0.31655676481180345,0.2305068676626744,0.16965683313857682
time_urgency_level,-0.12889829878939685,0.09444795458896806,0.1723301314963932
requires_list_dedup_grouping,-0.1285464533295462,0.10301391786885374,0.2120840885886529
embedding_axis_urgency,-0.30316496932045717,0.24321751899551441,0.21258943976673028
planning_horizon,0.056171284615400295,0.04635757850790449,0.2256288355585776
embedding_axis_complexity,0.46606165579158987,0.3898866274780685,0.2319396187697228
output_requires_behavior_change_guidance,0.13014257229895024,0.10958764526405274,0.23500440097802877
needs_communication_logs,-0.1463984539836334,0.12533521028794303,0.2427844678928721
social_context_strength,0.05399670234892534,0.04832476362245829,0.26383561531341815
habit_analysis,-0.1057535471226637,0.09564349964335113,0.26885399271205546
needs_financial_logs,-0.12951525148925083,0.13139747035622945,0.32429243477060554
domain_category,-0.014430401869303376,0.01473214621123821,0.32732411673686335
requires_similarity_search,-0.12111517309239586,0.12922312839131517,0.3486268079210392
query_id Var,0.01047161596917438,0.011311042974605966,0.3545567107496299
QL_char,0.005376740630766734,0.00702555368630699,0.44408577262407245
personalization_intensity,0.07743033040765823,0.1107020473007563,0.4842720721385514
needs_location_context,0.04410526050517484,0.06551589820284638,0.500820470597549
task_family,-0.017273880218028625,0.025688196910543463,0.501300922553665
device_context_implied,-0.025739893147789135,0.04740926459413937,0.5871782736879666
food_context_type,0.03975658307804892,0.07519862833945669,0.5970221736900165
has_temporal_diff_phrase,0.08594213018993645,0.1675826986955379,0.6080673419985909
requires_generation,-0.06102324993540441,0.13928169474742458,0.6612932920861925
requires_cross_app_integration,0.03914748073297829,0.08965716760035966,0.6623758866336008
stakes_level,-0.029623878718364874,0.07036077329132165,0.673734396542524
info_source_type,0.008323061597112531,0.021158037445740262,0.6940418817456073
time_window_length,0.017036977627324763,0.04384929926297234,0.6976203245862806
has_comparative_phrase,-0.06482215823337814,0.17437609936151122,0.7100882034846601
embedding_cluster_id,-0.01009039650890476,0.030003927465354997,0.7366427474823465
QL_tokens,0.012007529478069646,0.03724472082964798,0.7471531115050216
cognitive_load_estimate,-0.0383693147654106,0.12229783973025353,0.7537210610741149
contains_monetary_amount,-0.03873442750913626,0.13933653833824086,0.7810185850407013
query_goal_specificity,0.026390444014592684,0.09881339573839705,0.789412535077173
recommendation_type,-0.005271424294496818,0.024548143727762397,0.8299714348802448
monetary_context_type,0.003985644351820981,0.030356817304712666,0.895543353485595
requires_aggregation,0.013784243601779576,0.10602081219325475,0.8965549493897707
requires_personal_history,0.01676659516076057,0.15659783967674687,0.9147351466669305
interaction_pattern,-0.005048298303800893,0.06944388063335004,0.9420479634002769
modality_primary,-0.0010342400514158272,0.02768131144262775,0.9701960573407181
