Component,Explained_Variance,Cumulative_Variance
PC1,0.16739405558382484,0.16739405558382484
PC2,0.14448160948683483,0.31187566507065967
PC3,0.09189791146825463,0.4037735765389143
PC4,0.06573188131447305,0.4695054578533874
PC5,0.061299668558078675,0.530805126411466
PC6,0.054035559707861364,0.5848406861193274
PC7,0.048355608113023196,0.6331962942323506
PC8,0.03874429222548066,0.6719405864578313
PC9,0.03459217326122708,0.7065327597190584
PC10,0.030929059716135812,0.7374618194351942
PC11,0.030003975693082163,0.7674657951282764
PC12,0.02509047264367555,0.792556267771952
PC13,0.022765875170599432,0.8153221429425515
PC14,0.018246675655974907,0.8335688185985264
PC15,0.01742096633184828,0.8509897849303747
PC16,0.016385346815793296,0.867375131746168
PC17,0.015204491024911216,0.8825796227710792
PC18,0.012228194215584347,0.8948078169866635
PC19,0.010842987032529094,0.9056508040191925
PC20,0.009745928290797285,0.9153967323099897
PC21,0.009311514447998444,0.9247082467579882
PC22,0.008839070829930388,0.9335473175879186
PC23,0.007706763137949827,0.9412540807258685
PC24,0.006637516885610417,0.9478915976114789
PC25,0.005994391115040605,0.9538859887265195
PC26,0.005608472037947111,0.9594944607644667
PC27,0.005313351208174261,0.9648078119726409
PC28,0.004831052529272332,0.9696388645019132
PC29,0.004043869254143861,0.9736827337560571
PC30,0.0035026345817511747,0.9771853683378082
PC31,0.0028517529138433555,0.9800371212516515
PC32,0.0027976308432647386,0.9828347520949163
PC33,0.0026320594868779,0.9854668115817943
PC34,0.002004589691892584,0.9874714012736868
PC35,0.001919168939798242,0.9893905702134851
PC36,0.0017987449837230246,0.9911893151972081
PC37,0.0017143543836762054,0.9929036695808843
PC38,0.001288916841205881,0.9941925864220902
PC39,0.0011857251033790984,0.9953783115254693
PC40,0.0010359330550794709,0.9964142445805487
PC41,0.0009434117576405739,0.9973576563381893
PC42,0.0007213295175050549,0.9980789858556943
PC43,0.0005977524818777762,0.9986767383375721
PC44,0.000501325858463013,0.999178064196035
PC45,0.0003691521139707569,0.9995472163100058
PC46,0.0003086869093963329,0.9998559032194021
PC47,0.00014409678059783886,0.9999999999999999
