feature,estimate,std_error,p_value
needs_health_data,-0.1880021468688924,0.0581066509443976,0.0012144395734165
expected_answer_length,0.3754388492572323,0.1180780577037995,0.0014748770961086
planning_horizon,0.0677006584362109,0.0238395620991843,0.0045135475659415
time_window_length,0.0630864340070712,0.0225626719057047,0.0051730862777307
task_family,-0.0360470668805209,0.013210208793403,0.0063579117943586
requires_personal_history,0.2090882451190227,0.080331923508257,0.0092464821032297
cognitive_load_estimate,-0.1501933879039816,0.0626779241793485,0.0165627703643013
embedding_axis_complexity,0.4783679699698842,0.2001705645045362,0.0168574685553519
time_urgency_level,-0.1153448764098754,0.048645344829914,0.0177333584840706
novelty_seeking,-0.1391412109893299,0.0587507152091914,0.017868483469523
requires_aggregation,-0.1218275850945958,0.0543296561952329,0.0249370008181711
has_comparative_phrase,0.1986577724523887,0.0896562445478562,0.0267071392209332
device_context_implied,-0.053145958321962,0.0243925171656869,0.0293479246823986
output_requires_multimedia_creation,0.341468603333158,0.1650611973968505,0.0385705473139023
social_context_strength,0.0495756979339704,0.0249270214329652,0.0467195720598036
